id	author	documents	citations	total link strength
1243	"reis, ingrid weingartner"	1	0	0
1244	"rejeb, abderahman"	1	0	0
1245	"remmers, joris c."	1	3	0
1246	"reray, lisa"	1	1	0
1247	"resch, olaf"	1	6	0
1248	"revanth kumar reddy, r."	1	0	0
1249	"revanya devi, m."	1	1	0
1250	"reyes, roberto"	1	31	0
1251	"reyes-moreno, enevis rafael"	1	2	0
1252	"reza, mohi"	1	0	0
1253	"ribeiro, francisco carlos"	1	1	0
1254	"ribeiro-navarrete, samuel"	1	1502	0
1255	"ricanek, karl"	1	0	0
1256	"richard, rohan paul"	1	0	0
1257	"richards, deborah"	1	0	0
1258	"richter, alexander"	1	1502	0
1259	"rieger, michael"	1	0	0
1260	"rihawi, samer"	1	1	0
1261	"rincon-novoa, jeisson"	1	5	0
1262	"rittberger, marc"	1	0	0
1263	"rivera-mamani, freddy abel"	1	2	0
1264	"rivoli, alessio"	1	3	0
1265	"rizzardini, rocael hernández"	1	0	0
1266	"rizzo, albert a."	1	63	0
1267	"robayo-pinzon, oscar"	1	5	0
1268	"robbins, tim"	1	35	0
1269	"robra-bissantz, susanne"	2	1	16
1270	"rocha, andré"	1	0	0
1271	"rodrigo, ma. mercedes t."	1	30	0
1272	"rodriguez-huamán, rosa e."	1	0	0
1273	"rodríguez-lera, francisco javier"	1	0	0
1274	"rodríguez-sedano, francisco"	1	0	0
1275	"rohini, v."	1	23	0
1276	"roja shuruthika, k."	1	0	0
1277	"rojas-berrio, sandra"	1	5	0
1278	"rojashree, v."	1	0	0
1279	"rolim, vitor"	1	5	0
1280	"roman-cañizares, milton"	1	21	0
1281	"romaní-claros, alfonso"	1	2	0
1282	"román-cañizares, milton"	1	103	0
1283	"roopaei, mehdi"	1	0	0
1284	"rosenbaum, andy"	1	18	0
1285	"rosul, md. golam"	1	28	0
1286	"rosy salomi victoria, d."	1	0	0
1287	"rotanova, mira b."	1	1	0
1288	"rowe, frantz"	1	1502	0
1289	"rudolph, eric"	1	1	0
1290	"ruiz-mondaza, mercedes"	1	15	0
1291	"rummel, nikol"	1	2	0
1292	"saadane, rachid"	1	3	0
1293	"saadna, youness"	1	16	0
1294	"sabeh, hala najwan"	1	0	0
1295	"sachdeva, n."	1	17	0
1296	"safa, nehme"	1	16	0
1297	"sagae, kenji"	1	63	0
1298	"saha, koustuv"	1	68	0
1299	"sahane, prema"	1	0	0
1300	"saihi, afef"	1	3	0
1301	"sakellariou, rizos"	1	165	0
1302	"sakib, md. mamun"	1	1	0
1303	"sakib, nazmus"	1	6	0
1304	"salem, maha"	1	1	0
1305	"salminen, joni"	2	1	0
1306	"samadova, nargiza"	1	0	0
1307	"samala, agariadne dwinggo"	1	19	0
1308	"samatov, muhiddin"	1	0	0
1309	"samian, normalia"	1	6	0
1310	"samoilă, cornel"	1	0	0
1311	"samuel azariya, s. david"	1	1	0
1312	"san pedro, maria ofelia clarissa z."	1	30	0
1313	"sanders, leslie"	1	21	0
1314	"sandoussi, rima"	1	0	0
1315	"sandu, nitirajsingh"	1	108	0
1316	"sankar, s."	1	2	0
1317	"santana, rafael"	1	5	0
1318	"santiago, grisi bernardo"	1	8	0
1319	"santos-fernández, juan p."	1	0	0
1320	"santosa, paulus insap"	1	6	0
1321	"santosh, kathari"	1	0	0
1322	"sanusi, ismaila temitayo"	1	10	0
1323	"sanya, oluwafemi a."	1	0	0
1324	"sapna, r."	1	3	0
1325	"saravanan, abhinaya"	1	1	0
1326	"sarensanth, c."	1	0	0
1327	"sarkar, moumita"	1	11	0
1328	"sarker, suprateek"	1	1502	0
1329	"sarma, surajit"	1	0	0
1330	"sarsam, samer muthana"	1	2	0
1331	"sartono, eduardus steven"	1	1	0
1332	"sauerwein, clemens"	1	0	0
1333	"scarlett, horrett"	1	0	0
1334	"schacht, sigurd"	1	1	0
1335	"schaefer, darlene"	1	8	0
1336	"scherer, christian"	1	0	0
1337	"schlimbach, ricarda"	2	1	16
1338	"schmid, elena"	1	1	0
1339	"schmid, tamara"	1	33	0
1340	"schneider, jan"	1	0	0
1341	"schon, eva-maria"	1	54	0
1342	"schoop, mareike"	1	1	0
1343	"schoormann, thorsten"	2	1	16
1344	"schreiberova, petra"	1	399	0
1345	"schuster, dennis"	1	0	0
1346	"schöffmann, klaus"	1	7	0
1347	"sciarrone, filippo"	3	8	0
1348	"scuotto, chiara"	1	4	0
1349	"segerer, stephan"	1	0	0
1350	"seghir, hakima"	1	0	0
1351	"seipel, stefan"	1	5	0
1352	"sen, amit"	1	11	0
1353	"senali, madugoda gunaratnege"	2	89	0
1354	"sengul, cigdem"	1	0	0
1355	"sentanu, al ghifari enerza"	1	0	0
1356	"senthujan, b."	1	1	0
1357	"seo, wonchul"	1	1	0
1358	"septian, rafly ananda dwi"	1	19	0
1359	"serik, meruyert"	1	1	0
1360	"sernaque, fernando"	1	8	0
1361	"seufert, sabine"	2	25	0
1362	"sevilla, joseph"	1	0	0
1363	"sgouropoulou, cleo"	1	1	0
1364	"shaalan, khaled"	5	28	0
1365	"shagalova, polina"	1	1	0
1366	"shah, milind h"	1	3	5
1367	"shahbodin, faaizah"	1	6	0
1368	"shanbhag, arun"	1	0	0
1369	"sharef, nurfadhlina mohd"	1	6	0
1370	"sharma, saroj"	1	0	0
1371	"sharma, silky"	1	2	0
1372	"sharma, sonal"	1	4	0
1373	"sharmin, shayla"	1	10	0
1374	"sharo, abdulla"	1	14	0
1375	"shehata, boulus"	1	646	2
1376	"sheng, hao"	1	27	0
1377	"shenoy, anjali"	1	18	0
1378	"shi, jiakai"	1	0	0
1379	"shi, yao"	1	0	0
1380	"shiel, aaron"	1	2	0
1381	"shimichev, alexey s."	1	1	0
1382	"shimray, somipam"	1	336	0
1383	"shin, hyungyu"	1	5	0
1384	"shin, jaeyoon"	1	0	0
1385	"shin, masako"	1	1	0
1386	"shishibori, masami"	1	3	0
1387	"shivashankar, bhuvana"	1	3	0
1388	"shobhanali, n."	1	1	0
1389	"shyam, archana"	1	1	0
1390	"siiman, leo a."	1	0	0
1391	"sikka, harshvardhan"	1	0	0
1392	"silitonga, lusia maryani"	2	12	0
1393	"silva, geovana ramos sousa"	1	1	0
1394	"silva, leonardo"	1	9	0
1395	"silvano, r."	1	0	0
1396	"sinah, neelesh"	1	0	0
1397	"sinclair, peter m."	1	5	0
1398	"singer, sydney"	1	0	0
1399	"singh, anish"	1	0	0
1400	"singh, gurinder"	1	2	0
1401	"singh, isha"	1	2	0
1402	"singh, manmeet"	1	165	0
1403	"singh, pragya"	1	1	0
1404	"singh, rabindra kumar"	1	0	0
1405	"singh, rahul"	1	0	0
1406	"singh, rajesh"	1	0	0
1407	"singh, saloni"	1	2	0
1408	"singh, sid"	1	35	0
1409	"slade, emma louise"	1	1502	0
1410	"slama, rachel"	1	0	0
1411	"slavík, martin"	1	7	0
1412	"smitha, g.r."	1	5	0
